Model,PC1_score,mAP@0.5:0.95,mAP@0.5,Precision,Recall
YOLOv8sMerged,0.2790,0.6160,0.8780,0.8500,0.8495
YOLOv8mMerged,0.2739,0.6345,0.8580,0.8455,0.8505
YOLOv11mMergedData960,0.2661,0.6380,0.8635,0.8520,0.8215
YOLOv11sMergedData960,0.2630,0.6225,0.8735,0.8625,0.8090
YOLOv11nMergedData960,0.2270,0.5895,0.8480,0.8265,0.8255
YOLOv8nMerged,0.1479,0.5385,0.8210,0.7840,0.7820
YOLOv11mNickData960,-0.2180,0.4115,0.5805,0.6490,0.5725
YOLOv11sNickData960,-0.2275,0.4145,0.5660,0.6520,0.5660
YOLOv8mNick,-0.2413,0.3980,0.5650,0.6225,0.5780
YOLOv11nNickData960,-0.2506,0.3905,0.5630,0.6400,0.5550
YOLOv8sNick,-0.2546,0.3805,0.5550,0.6190,0.5815
YOLOv8nNick,-0.2649,0.3725,0.5595,0.6400,0.5470
